fpr,tpr
1,1
0.989519,1
0.945504,1
0.935093,0.995169
0.919212,0.995169
0.90713,0.995169
0.892696,0.995169
0.873366,0.995169
0.866124,0.990338
0.85818,0.990338
0.842542,0.990338
0.826329,0.990338
0.818445,0.990338
0.812769,0.985507
0.809487,0.985507
0.806517,0.985507
0.804428,0.985507
0.803572,0.985507
0.80227,0.980676
0.801336,0.980676
0.800992,0.980676
0.800715,0.980676
0.80055,0.980676
0.800395,0.980676
0.800332,0.980676
0.800209,0.980676
0.799981,0.980676
0.799616,0.980676
0.799339,0.980676
0.798917,0.980676
0.798015,0.980676
0.797071,0.980676
0.796688,0.980676
0.796534,0.980676
0.796148,0.980676
0.795685,0.980676
0.795021,0.980676
0.794656,0.980676
0.79428,0.980676
0.794,0.980676
0.793684,0.980676
0.793308,0.980676
0.79308,0.980676
0.79282,0.980676
0.792532,0.980676
0.792283,0.980676
0.792164,0.980676
0.792055,0.980676
0.791967,0.980676
0.791915,0.980676
0.79189,0.980676
0.791869,0.980676
0.791802,0.980676
0.791736,0.980676
0.791623,0.980676
0.791406,0.980676
0.791213,0.980676
0.791086,0.980676
0.791005,0.980676
0.79097,0.980676
0.790956,0.980676
0.790928,0.980676
0.790914,0.980676
0.790805,0.980676
0.79063,0.980676
0.790539,0.980676
0.790346,0.980676
0.790138,0.980676
0.789861,0.980676
0.789493,0.980676
0.789289,0.980676
0.789208,0.980676
0.789156,0.980676
0.789117,0.980676
0.789078,0.980676
0.789047,0.980676
0.789008,0.980676
0.788991,0.980676
0.78897,0.980676
0.788952,0.980676
0.788941,0.980676
0.788934,0.980676
0.788903,0.980676
0.788864,0.980676
0.78884,0.980676
0.788787,0.980676
0.788769,0.980676
0.788727,0.980676
0.788696,0.980676
0.788685,0.980676
0.788626,0.980676
0.788615,0.980676
0.788608,0.980676
0.788604,0.980676
0.788601,0.980676
0.788597,0.980676
0.788594,0.980676
0.788545,0.980676
0.788499,0.980676
0.788482,0.980676
0.788468,0.980676
0.788454,0.980676
0.788429,0.980676
0.788383,0.980676
0.788324,0.980676
0.788289,0.980676
0.788246,0.980676
0.788218,0.980676
0.788194,0.980676
0.788169,0.980676
0.788141,0.980676
0.788106,0.980676
0.788081,0.980676
0.788039,0.980676
0.788004,0.980676
0.78798,0.980676
0.787962,0.980676
0.787959,0.980676
0.787948,0.980676
0.78793,0.980676
0.78793,0.980676
0.787927,0.980676
0.787923,0.980676
0.787878,0.980676
0.787818,0.980676
0.787815,0.980676
0.78779,0.980676
0.787741,0.980676
0.78772,0.980676
0.787629,0.980676
0.787555,0.980676
0.787464,0.980676
0.787397,0.980676
0.787281,0.980676
0.787197,0.980676
0.78713,0.980676
0.787035,0.980676
0.787021,0.980676
0.787021,0.980676
0.787018,0.980676
0.787011,0.980676
0.787007,0.980676
0.787,0.980676
0.786993,0.980676
0.78699,0.980676
0.786986,0.980676
0.786986,0.980676
0.786986,0.980676
0.786986,0.980676
0.786986,0.980676
0.786983,0.980676
0.786965,0.980676
0.786962,0.980676
0.786962,0.980676
0.786951,0.980676
0.786944,0.980676
0.78692,0.980676
0.786916,0.980676
0.786909,0.980676
0.786898,0.980676
0.786877,0.980676
0.786832,0.980676
0.786811,0.980676
0.78679,0.980676
0.786751,0.980676
0.786702,0.980676
0.78666,0.980676
0.786632,0.980676
0.786597,0.980676
0.786562,0.980676
0.786519,0.980676
0.786519,0.980676
0.786519,0.980676
0.786519,0.980676
0.786519,0.980676
0.786519,0.980676
0.786516,0.980676
0.786516,0.980676
0.786516,0.980676
0.786516,0.980676
0.786516,0.980676
0.786512,0.980676
0.786509,0.980676
0.786495,0.980676
0.786488,0.980676
0.786488,0.980676
0.786484,0.980676
0.786481,0.980676
0.78647,0.980676
0.78647,0.980676
0.786442,0.980676
0.786428,0.980676
0.786428,0.980676
0.786428,0.980676
0.786428,0.980676
0.786428,0.980676
0.786425,0.980676
0.786425,0.980676
0.786421,0.980676
0.786421,0.980676
0.786414,0.980676
0.786411,0.980676
0.786411,0.980676
0.786411,0.980676
0.786411,0.980676
0.786404,0.980676
0.786397,0.980676
0.786386,0.980676
0.786382,0.980676
0.786365,0.980676
0.786354,0.980676
0.786344,0.980676
0.786333,0.980676
0.786333,0.980676
0.78633,0.980676
0.78633,0.980676
0.786326,0.980676
0.786326,0.980676
0.786323,0.980676
0.786316,0.980676
0.786312,0.980676
0.786309,0.980676
0.786309,0.980676
0.786309,0.980676
0.786309,0.980676
0.786295,0.980676
0.786288,0.980676
0.786281,0.980676
0.786281,0.980676
0.786281,0.980676
0.786281,0.980676
0.786281,0.980676
0.786281,0.980676
0.786277,0.980676
0.786274,0.980676
0.78627,0.980676
0.78627,0.980676
0.78627,0.980676
0.78626,0.980676
0.786256,0.980676
0.786249,0.980676
0.786242,0.980676
0.786242,0.980676
0.786239,0.980676
0.786239,0.980676
0.786239,0.980676
0.786235,0.980676
0.786235,0.980676
0.786228,0.980676
0.786221,0.980676
0.786221,0.980676
0.786221,0.980676
0.786221,0.980676
0.786217,0.980676
0.786217,0.980676
0.786214,0.980676
0.786214,0.980676
0.786214,0.980676
0.786214,0.980676
0.786214,0.980676
0.786214,0.980676
0.786214,0.980676
0.786214,0.980676
0.786214,0.980676
0.786214,0.980676
0.786214,0.980676
0.786214,0.980676
0.786214,0.980676
0.786214,0.980676
0.786214,0.980676
0.786214,0.980676
0.78621,0.980676
0.78621,0.980676
0.78621,0.980676
0.78621,0.980676
0.78621,0.980676
0.78621,0.980676
0.78621,0.980676
0.78621,0.980676
0.78621,0.980676
0.78621,0.980676
0.786207,0.980676
0.786207,0.980676
0.786203,0.980676
0.786203,0.980676
0.786203,0.980676
0.786203,0.980676
0.786203,0.980676
0.786203,0.980676
0.786203,0.980676
0.786203,0.980676
0.786203,0.980676
0.786203,0.980676
0.786203,0.980676
0.786203,0.980676
0.786203,0.980676
0.786203,0.980676
0.786203,0.980676
0.786203,0.980676
0.786203,0.980676
0.786203,0.980676
0.786203,0.980676
0.786203,0.980676
0.786203,0.980676
0.786203,0.980676
0.786203,0.980676
0.786203,0.980676
0.786203,0.980676
0.786203,0.980676
0.786203,0.980676
0.786203,0.980676
0.786203,0.980676
0.7862,0.980676
0.7862,0.980676
0.7862,0.980676
0.7862,0.980676
0.7862,0.980676
0.7862,0.980676
0.7862,0.980676
0.7862,0.980676
0.7862,0.980676
0.7862,0.980676
0.7862,0.980676
0.7862,0.980676
0.786196,0.980676
0.786196,0.980676
0.786193,0.980676
0.786193,0.980676
0.786189,0.980676
0.786189,0.980676
0.786189,0.980676
0.786189,0.980676
0.786189,0.980676
0.786189,0.980676
0.786189,0.980676
0.786189,0.980676
0.786189,0.980676
0.786186,0.980676
0.786186,0.980676
0.786172,0.980676
0.786165,0.980676
0.786165,0.980676
0.786158,0.980676
0.786158,0.980676
0.786154,0.980676
0.786147,0.980676
0.786147,0.980676
0.78614,0.980676
0.78614,0.980676
0.78614,0.980676
0.78614,0.980676
0.78614,0.980676
0.78614,0.980676
0.78614,0.980676
0.78614,0.980676
0.786137,0.980676
0.786137,0.980676
0.786137,0.980676
0.786137,0.980676
0.786137,0.980676
0.786137,0.980676
0.786137,0.980676
0.786137,0.980676
0.786137,0.980676
0.786137,0.980676
0.786137,0.980676
0.786137,0.980676
0.786137,0.980676
0.786137,0.980676
0.786137,0.980676
0.786137,0.980676
0.786137,0.980676
0.78613,0.980676
0.786116,0.980676
0.786109,0.980676
0.786109,0.980676
0.786109,0.980676
0.786109,0.980676
0.786109,0.980676
0.786109,0.980676
0.786109,0.980676
0.786109,0.980676
0.786109,0.980676
0.786109,0.980676
0.786109,0.980676
0.786109,0.980676
0.786109,0.980676
0.786109,0.980676
0.786109,0.980676
0.786105,0.980676
0.786095,0.980676
0.786091,0.980676
0.786091,0.980676
0.786088,0.980676
0.786088,0.980676
0.786081,0.980676
0.786067,0.980676
0.786067,0.980676
0.786053,0.980676
0.786045,0.980676
0.786035,0.980676
0.786031,0.980676
0.786021,0.980676
0.786007,0.980676
0.786003,0.980676
0.785993,0.980676
0.785986,0.980676
0.785982,0.980676
0.785982,0.980676
0.785979,0.980676
0.785975,0.980676
0.785975,0.980676
0.785961,0.980676
0.785961,0.980676
0.785961,0.980676
0.785961,0.980676
0.785961,0.980676
0.785961,0.980676
0.785961,0.980676
0.785961,0.980676
0.785961,0.980676
0.785961,0.980676
0.785961,0.980676
0.785961,0.980676
0.785961,0.980676
0.785961,0.980676
0.785961,0.980676
0.785961,0.980676
0.785961,0.980676
0.785961,0.980676
0.785961,0.980676
0.785961,0.980676
0.785961,0.980676
0.785961,0.980676
0.785961,0.980676
0.785961,0.980676
0.785961,0.980676
0.785961,0.980676
0.785961,0.980676
0.785961,0.980676
0.785961,0.980676
0.785958,0.980676
0.785958,0.980676
0.785958,0.980676
0.785958,0.980676
0.785958,0.980676
0.785958,0.980676
0.785958,0.980676
0.785958,0.980676
0.785958,0.980676
0.785958,0.980676
0.785958,0.980676
0.785958,0.980676
0.785958,0.980676
0.785958,0.980676
0.785958,0.980676
0.785958,0.980676
0.785958,0.980676
0.785958,0.980676
0.785958,0.980676
0.785958,0.980676
0.785958,0.980676
0.785958,0.980676
0.785958,0.980676
0.785958,0.980676
0.785958,0.980676
0.785958,0.980676
0.785958,0.980676
0.785958,0.980676
0.785958,0.980676
0.785958,0.980676
0.785958,0.980676
0.785958,0.980676
0.785958,0.980676
0.785958,0.980676
0.785958,0.980676
0.785958,0.980676
0.785958,0.980676
